Type	Rank	Freq	Range	NormFreq	NormRange
jolı menen jámiyettiń ustavlıq	1	5	1	289.134	1.000
kitabı b e sh	2	4	1	231.307	1.000
sonıń ushın da ol	2	4	1	231.307	1.000
akciyalardı jaylastırıw jolı menen	4	3	1	173.481	1.000
b e sh jılı	4	3	1	173.481	1.000
haqqında sheshim akcionerlerdiń ulıwma	4	3	1	173.481	1.000
kategoriya qaraqalpaq folklorı title	4	3	1	173.481	1.000
kategoriya qaraqalpaq ádebiyatı kategoriya	4	3	1	173.481	1.000
menen jámiyettiń ustavlıq kapitalın	4	3	1	173.481	1.000
qaraqalpaq xalıq qosıqlarınıń belgili	4	3	1	173.481	1.000
qaraqalpaq ádebiyatı kategoriya qaraqalpaq	4	3	1	173.481	1.000
qosımsha akciyalardı jaylastırıw jolı	4	3	1	173.481	1.000
rawajlanıwına úlken úles qosqan	4	3	1	173.481	1.000
satıp alıw huqıqına iye	4	3	1	173.481	1.000
sheshim akcionerlerdiń ulıwma jıynalısında	4	3	1	173.481	1.000
xalıq qosıqlarınıń belgili bir	4	3	1	173.481	1.000
xix ásirdiń aqırı xx	4	3	1	173.481	1.000
ádebiyatı kategoriya qaraqalpaq folklorı	4	3	1	173.481	1.000
ásirdiń aqırı xx ásirdiń	4	3	1	173.481	1.000
akcionerlerdiń ulıwma jıynalısında yamasa	20	2	1	115.654	1.000
akciyalardıń nominal bahasın kóbeytiw	20	2	1	115.654	1.000
akciyaların satıp alıw huqıqına	20	2	1	115.654	1.000
alınǵan sánege nızamshılıq penen	20	2	1	115.654	1.000
antarktikanıń xalıqaralıq huqıqıy dárejesi	20	2	1	115.654	1.000
aqırı xx ásirdiń basındaǵı	20	2	1	115.654	1.000
arab tili arab tili	20	2	1	115.654	1.000
atındaǵı nókis mámleketlik pedagogikalıq	20	2	1	115.654	1.000
awızeki dóretpeleriniń belgili bir	20	2	1	115.654	1.000
ayapbergen muwsa ulı xix	20	2	1	115.654	1.000
ayrıqshı xalıqaralıq huqıqıy dárejesi	20	2	1	115.654	1.000
b e sh j	20	2	1	115.654	1.000
b e sh vi	20	2	1	115.654	1.000
baqlaw keńesi tárepinen qabıl	20	2	1	115.654	1.000
