Type	Rank	Freq	Range	NormFreq	NormRange
hám basqa	1	17	1	982.943	1.000
menen birge	2	16	1	925.123	1.000
hár qıylı	3	15	1	867.303	1.000
b e	4	13	1	751.662	1.000
e sh	4	13	1	751.662	1.000
sonıń ushın	4	13	1	751.662	1.000
bolıp esaplanadı	7	12	1	693.842	1.000
bir neshe	8	11	1	636.022	1.000
jámiyettiń ustavlıq	8	11	1	636.022	1.000
payda boldı	8	11	1	636.022	1.000
t b	8	11	1	636.022	1.000
ushın da	8	11	1	636.022	1.000
aral teńizi	13	10	1	578.202	1.000
belgili bir	13	10	1	578.202	1.000
bolıp tabıladı	13	10	1	578.202	1.000
menen bir	13	10	1	578.202	1.000
solay etip	13	10	1	578.202	1.000
h t	18	9	1	520.382	1.000
sonıń menen	18	9	1	520.382	1.000
ájiniyaz qosıbay	18	9	1	520.382	1.000
arab tili	21	8	1	462.561	1.000
bir qatar	21	8	1	462.561	1.000
dep atalǵan	21	8	1	462.561	1.000
jolı menen	21	8	1	462.561	1.000
qaraqalpaq xalqınıń	21	8	1	462.561	1.000
satıp alıw	21	8	1	462.561	1.000
bir qatarda	27	7	1	404.741	1.000
boladı ol	27	7	1	404.741	1.000
bolıp ótti	27	7	1	404.741	1.000
eramızǵa shekemgi	27	7	1	404.741	1.000
eń birinshi	27	7	1	404.741	1.000
hám basqalar	27	7	1	404.741	1.000
kategoriya qaraqalpaq	27	7	1	404.741	1.000
kóp ǵana	27	7	1	404.741	1.000
qosıbay ulı	27	7	1	404.741	1.000
sonday aq	27	7	1	404.741	1.000
xx ásirdiń	27	7	1	404.741	1.000
óz ishine	27	7	1	404.741	1.000
akcionerlerdiń ulıwma	39	6	1	346.921	1.000
alisher nawayı	39	6	1	346.921	1.000
axmed yugnakiy	39	6	1	346.921	1.000
ayapbergen muwsa	39	6	1	346.921	1.000
bahalı qaǵaz	39	6	1	346.921	1.000
bolsa da	39	6	1	346.921	1.000
bolıp ol	39	6	1	346.921	1.000
bunnan tısqarı	39	6	1	346.921	1.000
hám ol	39	6	1	346.921	1.000
hám onıń	39	6	1	346.921	1.000
házirgi waqıtta	39	6	1	346.921	1.000
ishine aladı	39	6	1	346.921	1.000
láyli hám	39	6	1	346.921	1.000
menen jámiyettiń	39	6	1	346.921	1.000
meńesh penen	39	6	1	346.921	1.000
muwsa ulı	39	6	1	346.921	1.000
ol óziniń	39	6	1	346.921	1.000
onıń eń	39	6	1	346.921	1.000
qız meńesh	39	6	1	346.921	1.000
sóz benen	39	6	1	346.921	1.000
xix ásirde	39	6	1	346.921	1.000
xix ásirdiń	39	6	1	346.921	1.000
óz aldına	39	6	1	346.921	1.000
aqıl násiyat	62	5	1	289.101	1.000
arab tiliniń	62	5	1	289.101	1.000
aral teńizine	62	5	1	289.101	1.000
basıp shıǵarılǵan	62	5	1	289.101	1.000
berdaq shayır	62	5	1	289.101	1.000
bet ashardıń	62	5	1	289.101	1.000
bir kletkalılar	62	5	1	289.101	1.000
biraq ol	62	5	1	289.101	1.000
birden bir	62	5	1	289.101	1.000
biri edi	62	5	1	289.101	1.000
boladı bul	62	5	1	289.101	1.000
bolǵanı ushın	62	5	1	289.101	1.000
dep ataladı	62	5	1	289.101	1.000
dep ataǵan	62	5	1	289.101	1.000
emes al	62	5	1	289.101	1.000
eń kórnekli	62	5	1	289.101	1.000
km kub	62	5	1	289.101	1.000
kórkem óner	62	5	1	289.101	1.000
menen baylanıslı	62	5	1	289.101	1.000
mıń km	62	5	1	289.101	1.000
názerde tutılǵan	62	5	1	289.101	1.000
nókis mámleketlik	62	5	1	289.101	1.000
ol jerde	62	5	1	289.101	1.000
payda bolǵan	62	5	1	289.101	1.000
qaytıs boladı	62	5	1	289.101	1.000
sol waqıttaǵı	62	5	1	289.101	1.000
variantı jılı	62	5	1	289.101	1.000
ázerbayjan xalıq	62	5	1	289.101	1.000
ózine tán	62	5	1	289.101	1.000
ózine túser	62	5	1	289.101	1.000
adam bolǵan	92	4	1	231.281	1.000
akciyalardıń nominal	92	4	1	231.281	1.000
ashıq nájip	92	4	1	231.281	1.000
atı menen	92	4	1	231.281	1.000
awızeki dóretpeleriniń	92	4	1	231.281	1.000
balalar qosıqları	92	4	1	231.281	1.000
baslaǵan ol	92	4	1	231.281	1.000
basqa da	92	4	1	231.281	1.000
bet ashar	92	4	1	231.281	1.000
bir túri	92	4	1	231.281	1.000
birinshi mártebe	92	4	1	231.281	1.000
boldı onıń	92	4	1	231.281	1.000
bolǵan ol	92	4	1	231.281	1.000
bul aytıs	92	4	1	231.281	1.000
bul dáwirde	92	4	1	231.281	1.000
bunnan keyin	92	4	1	231.281	1.000
da bul	92	4	1	231.281	1.000
da ol	92	4	1	231.281	1.000
degen menen	92	4	1	231.281	1.000
degen qızına	92	4	1	231.281	1.000
dizimge alınǵan	92	4	1	231.281	1.000
edi ol	92	4	1	231.281	1.000
eń jaqsı	92	4	1	231.281	1.000
haqqında sheshim	92	4	1	231.281	1.000
huqıqına iye	92	4	1	231.281	1.000
huqıqıy dárejesi	92	4	1	231.281	1.000
hám evropa	92	4	1	231.281	1.000
házirgi ázerbayjan	92	4	1	231.281	1.000
jazǵan ol	92	4	1	231.281	1.000
jıldan baslap	92	4	1	231.281	1.000
kem kemnen	92	4	1	231.281	1.000
keyin ala	92	4	1	231.281	1.000
keyin ol	92	4	1	231.281	1.000
kitabı b	92	4	1	231.281	1.000
kórkem awızeki	92	4	1	231.281	1.000
kórkem sóz	92	4	1	231.281	1.000
menen baylanısta	92	4	1	231.281	1.000
mámleketlik pedagogikalıq	92	4	1	231.281	1.000
n dáwqaraev	92	4	1	231.281	1.000
ne jaman	92	4	1	231.281	1.000
neft hám	92	4	1	231.281	1.000
orta aziya	92	4	1	231.281	1.000
parsı tájik	92	4	1	231.281	1.000
payda bolıwı	92	4	1	231.281	1.000
qabıl etiledi	92	4	1	231.281	1.000
qaraqalpaq kórkem	92	4	1	231.281	1.000
qaraqalpaq ádebiyatı	92	4	1	231.281	1.000
qay jerde	92	4	1	231.281	1.000
qosımsha akciyalardı	92	4	1	231.281	1.000
rus tilinde	92	4	1	231.281	1.000
solay bolsada	92	4	1	231.281	1.000
sonıń ushında	92	4	1	231.281	1.000
suw menen	92	4	1	231.281	1.000
tek ǵana	92	4	1	231.281	1.000
tilles xalıqlar	92	4	1	231.281	1.000
túrk tilles	92	4	1	231.281	1.000
ulıwma jıynalısında	92	4	1	231.281	1.000
ustavlıq kapitaldı	92	4	1	231.281	1.000
ustavlıq kapitalın	92	4	1	231.281	1.000
xalıq qosıqlarınıń	92	4	1	231.281	1.000
xalıqaralıq huqıqıy	92	4	1	231.281	1.000
xiratqa qaytıp	92	4	1	231.281	1.000
xix ásirdegi	92	4	1	231.281	1.000
ádebiyatınıń eń	92	4	1	231.281	1.000
ásirdiń aqırı	92	4	1	231.281	1.000
ásirdiń basında	92	4	1	231.281	1.000
ázerbayjan respublikası	92	4	1	231.281	1.000
óz dáwiriniń	92	4	1	231.281	1.000
úles qosqan	92	4	1	231.281	1.000
úlken úles	92	4	1	231.281	1.000
ǵana emes	92	4	1	231.281	1.000
adamlar onı	163	3	1	173.461	1.000
akcionerlik jámiyet	163	3	1	173.461	1.000
akciyalardı jaylastırıw	163	3	1	173.461	1.000
alisher nawayınıń	163	3	1	173.461	1.000
alınǵan sánege	163	3	1	173.461	1.000
alıp keledi	163	3	1	173.461	1.000
alıw huqıqına	163	3	1	173.461	1.000
appaǵım ay	163	3	1	173.461	1.000
apsheron yarım	163	3	1	173.461	1.000
aqlıq shawlıqları	163	3	1	173.461	1.000
aqırı xx	163	3	1	173.461	1.000
aral teńizin	163	3	1	173.461	1.000
arshin mol	163	3	1	173.461	1.000
awıl xojalıǵınıń	163	3	1	173.461	1.000
azıq awqat	163	3	1	173.461	1.000
baqsı degen	163	3	1	173.461	1.000
basqa tiri	163	3	1	173.461	1.000
belgili bolıp	163	3	1	173.461	1.000
berdaq shayırdıń	163	3	1	173.461	1.000
besik jırı	163	3	1	173.461	1.000
bir bólegin	163	3	1	173.461	1.000
bir janrı	163	3	1	173.461	1.000
bir kletkalılardıń	163	3	1	173.461	1.000
bir kún	163	3	1	173.461	1.000
biraq bul	163	3	1	173.461	1.000
biri bolıp	163	3	1	173.461	1.000
biri bolǵan	163	3	1	173.461	1.000
birin biri	163	3	1	173.461	1.000
birinshi ret	163	3	1	173.461	1.000
boldı ol	163	3	1	173.461	1.000
bolsa al	163	3	1	173.461	1.000
bolıp qaldı	163	3	1	173.461	1.000
bolıp qalǵan	163	3	1	173.461	1.000
bolıw menen	163	3	1	173.461	1.000
